open	135	tcp	53602	Microsoft Windows Server 2008 Beta 3	100	Microsoft	Windows	general purpose	2008
			56039	Microsoft Windows Phone 7.5	100	Microsoft	Windows	phone	Phone
			56574	Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7	100	Microsoft	Windows	general purpose	Vista
					100	Microsoft	Windows	general purpose	2008
					100	Microsoft	Windows	general purpose	7
			56887	Microsoft Windows Vista SP2, Windows 7 SP1, or Windows Server 2008	100	Microsoft	Windows	general purpose	Vista
					100	Microsoft	Windows	general purpose	7
					100	Microsoft	Windows	general purpose	2008
open	22	tcp	44376	Linux 2.6.32 - 3.9	98	Linux	Linux	general purpose	2.6.X
					98	Linux	Linux	general purpose	3.X
			63671	Netgear DG834G WAP or Western Digital WD TV media player	96	Netgear	embedded	WAP	
					96	Western Digital	embedded	media device	
			44231	Linux 2.6.32 - 3.2	95	Linux	Linux	general purpose	2.6.X
					95	Linux	Linux	general purpose	3.X
			45597	Linux 2.6.38 - 3.5	95	Linux	Linux	general purpose	2.6.X
					95	Linux	Linux	general purpose	3.X
			48215	Linux 3.0 - 3.9	95	Linux	Linux	general purpose	3.X
			43805	Linux 2.6.32	95	Linux	Linux	general purpose	2.6.X
			39655	Linux 2.6.22	95	Linux	Linux	general purpose	2.6.X
			45576	Linux 2.6.38 - 3.0	94	Linux	Linux	general purpose	2.6.X
					94	Linux	Linux	general purpose	3.X
			44668	Linux 2.6.35	94	Linux	Linux	general purpose	2.6.X
			48434	Linux 3.2	94	Linux	Linux	general purpose	3.X
										'OS:SCAN(V=6.46%E=4%D=11/25%OT=22%CT=1%CU=35898%PV=Y%DS=2%DC=I%G=Y%TM=5474EA
OS:44%P=i686-pc-windows-windows)SEQ(SP=100%GCD=1%ISR=106%TI=Z%CI=I%II=I%TS=
OS:8)OPS(O1=M5B4ST11NW6%O2=M5B4ST11NW6%O3=M5B4NNT11NW6%O4=M5B4ST11NW6%O5=M5
OS:B4ST11NW6%O6=M5B4ST11)WIN(W1=3890%W2=3890%W3=3890%W4=3890%W5=3890%W6=389
